experiment,eval,weather,class,mAP50,mAP50_std,mAP50_n,mAP50-95,mAP50-95_std,mAP50-95_n,precision,precision_std,precision_n,recall,recall_std,recall_n
S3_acdc,official,rain,truck,0.3242,,1,0.2597,,1,0.2073,,1,0.4375,,1
S3_acdc,official,rain,bus,0.1675,,1,0.0932,,1,0.2854,,1,0.125,,1
S3_acdc,official,rain,bicycle,0.0817,,1,0.0357,,1,0.4412,,1,0.1364,,1
S3_acdc,official,snow,person,0.2807,,1,0.1194,,1,0.6917,,1,0.2114,,1
S3_acdc,official,snow,rider,0.165,,1,0.066,,1,0.3155,,1,0.4732,,1
S3_acdc,official,snow,car,0.6915,,1,0.4282,,1,0.8025,,1,0.6021,,1
S3_acdc,official,snow,truck,0.4254,,1,0.3155,,1,0.5334,,1,0.439,,1
S3_acdc,official,snow,bus,0.1405,,1,0.0261,,1,0.1441,,1,0.0833,,1
S3_acdc,official,snow,bicycle,0.098,,1,0.0285,,1,0.3784,,1,0.1034,,1
S3_in_domain,single,overall,person,0.4455,,1,0.2069,,1,0.6321,,1,0.4005,,1
S3_in_domain,single,overall,rider,0.3739,,1,0.1645,,1,0.6663,,1,0.3214,,1
S3_in_domain,single,overall,car,0.7329,,1,0.4557,,1,0.7624,,1,0.6878,,1
S3_in_domain,single,overall,truck,0.5118,,1,0.3593,,1,0.6082,,1,0.479,,1
S3_in_domain,single,overall,bus,0.5039,,1,0.3771,,1,0.6198,,1,0.4378,,1
S3_in_domain,single,overall,bicycle,0.3112,,1,0.1205,,1,0.5614,,1,0.2578,,1
S5_acdc,5fold,overall,person,0.2808,0.0318,5,0.1263,0.0139,5,0.5525,0.0909,5,0.2586,0.0299,5
S5_acdc,5fold,overall,rider,0.1739,0.0695,5,0.0826,0.0332,5,0.4212,0.1425,5,0.1523,0.0618,5
S5_acdc,5fold,overall,car,0.6677,0.0131,5,0.418,0.0111,5,0.6051,0.067,5,0.655,0.0201,5
S5_acdc,5fold,overall,truck,0.3279,0.0545,5,0.2013,0.0384,5,0.423,0.0704,5,0.3672,0.074,5
S5_acdc,5fold,overall,bus,0.1873,0.0484,5,0.1185,0.0487,5,0.3706,0.0263,5,0.2252,0.0663,5
S5_acdc,5fold,overall,bicycle,0.1327,0.0298,5,0.0551,0.0115,5,0.4779,0.1164,5,0.1081,0.0113,5
S5_acdc,5fold,fog,person,0.3348,0.1546,5,0.1702,0.084,5,0.6618,0.117,5,0.2761,0.1357,5
S5_acdc,5fold,fog,rider,0.341,0.2329,5,0.181,0.1182,5,0.5022,0.3259,5,0.2682,0.1845,5
S5_acdc,5fold,fog,car,0.724,0.0316,5,0.4637,0.0254,5,0.7827,0.0654,5,0.6604,0.0561,5
S5_acdc,5fold,fog,truck,0.4672,0.0713,5,0.2677,0.0537,5,0.7247,0.0819,5,0.3449,0.0855,5
S5_acdc,5fold,fog,bus,0.5582,0.2376,5,0.4513,0.1903,5,0.4078,0.1923,5,0.5244,0.2458,5
S5_acdc,5fold,fog,bicycle,0.327,0.087,5,0.139,0.0469,5,0.635,0.174,5,0.2784,0.0846,5
S5_acdc,5fold,night,person,0.2352,0.0456,5,0.1008,0.0228,5,0.5485,0.1134,5,0.2223,0.0564,5
S5_acdc,5fold,night,rider,0.1414,0.0869,5,0.0653,0.0438,5,0.4593,0.2493,5,0.1226,0.0923,5
S5_acdc,5fold,night,car,0.5047,0.0276,5,0.3012,0.0185,5,0.4774,0.1634,5,0.5084,0.0359,5
S5_acdc,5fold,night,truck,0.0705,0.047,5,0.034,0.0265,5,0.1322,0.0777,5,0.2233,0.1372,5
S5_acdc,5fold,night,bus,0.0521,0.042,5,0.0271,0.0258,5,0.1449,0.1603,5,0.0687,0.0709,5
S5_acdc,5fold,night,bicycle,0.1198,0.0626,5,0.0522,0.0302,5,0.5039,0.3764,5,0.0873,0.0426,5
S5_acdc,5fold,rain,person,0.2234,0.0218,5,0.0919,0.0109,5,0.6274,0.2567,5,0.1737,0.0677,5
S5_acdc,5fold,rain,rider,0.2045,0.1668,5,0.0928,0.0757,5,0.4519,0.3534,5,0.1989,0.1398,5
S5_acdc,5fold,rain,car,0.7093,0.0372,5,0.4347,0.0237,5,0.6828,0.1467,5,0.6745,0.0972,5
S5_acdc,5fold,rain,truck,0.3557,0.1872,5,0.2912,0.1659,5,0.2494,0.1438,5,0.4007,0.1527,5
S5_acdc,5fold,rain,bus,0.2482,0.1431,5,0.1409,0.1148,5,0.4536,0.1534,5,0.2515,0.1129,5
S5_acdc,5fold,rain,bicycle,0.1414,0.0576,5,0.0674,0.0325,5,0.576,0.1976,5,0.092,0.0403,5
S5_acdc,5fold,snow,person,0.3483,0.0635,5,0.1666,0.0401,5,0.617,0.1337,5,0.306,0.0508,5
S5_acdc,5fold,snow,rider,0.1861,0.1211,5,0.0837,0.0637,5,0.2871,0.2467,5,0.2333,0.1491,5
S5_acdc,5fold,snow,car,0.7142,0.0077,5,0.462,0.0127,5,0.6707,0.0687,5,0.6811,0.0227,5
S5_acdc,5fold,snow,truck,0.2652,0.0797,5,0.1784,0.0759,5,0.3399,0.1131,5,0.3341,0.0942,5
S5_acdc,5fold,snow,bus,0.2042,0.0604,5,0.1179,0.0565,5,0.5389,0.1559,5,0.2159,0.1116,5
S5_acdc,5fold,snow,bicycle,0.111,0.0321,5,0.0494,0.0228,5,0.3463,0.133,5,0.0911,0.0379,5
S5_acdc,official,overall,person,0.2746,,1,0.1126,,1,0.6579,,1,0.2254,,1
S5_acdc,official,overall,rider,0.1154,,1,0.0439,,1,0.4035,,1,0.1429,,1
S5_acdc,official,overall,car,0.7036,,1,0.4489,,1,0.6568,,1,0.6836,,1
S5_acdc,official,overall,truck,0.3214,,1,0.2239,,1,0.3668,,1,0.3868,,1
S5_acdc,official,overall,bus,0.2551,,1,0.1229,,1,0.3714,,1,0.2857,,1
S5_acdc,official,overall,bicycle,0.0933,,1,0.0329,,1,0.3116,,1,0.08,,1
S5_acdc,official,fog,person,0.4169,,1,0.2154,,1,0.6979,,1,0.371,,1
S5_acdc,official,fog,rider,0.3216,,1,0.1341,,1,0.4536,,1,0.1818,,1
S5_acdc,official,fog,car,0.8163,,1,0.5618,,1,0.7467,,1,0.7681,,1
S5_acdc,official,fog,truck,0.3547,,1,0.2316,,1,0.5803,,1,0.3374,,1
S5_acdc,official,fog,bus,0.5715,,1,0.406,,1,0.3944,,1,0.6,,1
S5_acdc,official,fog,bicycle,0.2952,,1,0.1264,,1,0.5917,,1,0.2642,,1
S5_acdc,official,night,person,0.2572,,1,0.1041,,1,0.7299,,1,0.2152,,1
S5_acdc,official,night,rider,0.1167,,1,0.0581,,1,0.6702,,1,0.1154,,1
S5_acdc,official,night,car,0.5001,,1,0.3037,,1,0.4917,,1,0.4925,,1
S5_acdc,official,night,truck,0.0794,,1,0.0346,,1,0.1504,,1,0.25,,1
S5_acdc,official,night,bicycle,0.0432,,1,0.0179,,1,0.1218,,1,0.026,,1
S5_acdc,official,rain,person,0.2771,,1,0.1018,,1,0.7172,,1,0.1791,,1
S5_acdc,official,rain,rider,0.0107,,1,0.0042,,1,0.0,,1,0.0,,1
S5_acdc,official,rain,car,0.7069,,1,0.4293,,1,0.6548,,1,0.6956,,1
S5_acdc,official,rain,truck,0.353,,1,0.2809,,1,0.2536,,1,0.4375,,1
S5_acdc,official,rain,bus,0.2935,,1,0.1279,,1,0.4959,,1,0.2812,,1
S5_acdc,official,rain,bicycle,0.0979,,1,0.0354,,1,0.2273,,1,0.0455,,1
S5_acdc,official,snow,person,0.2556,,1,0.1017,,1,0.6209,,1,0.2153,,1
S5_acdc,official,snow,rider,0.1678,,1,0.0171,,1,0.2387,,1,0.5,,1
S5_acdc,official,snow,car,0.6989,,1,0.4378,,1,0.6917,,1,0.6661,,1
S5_acdc,official,snow,truck,0.388,,1,0.2938,,1,0.4062,,1,0.439,,1
S5_acdc,official,snow,bus,0.1732,,1,0.0495,,1,0.2045,,1,0.1667,,1
S5_acdc,official,snow,bicycle,0.1089,,1,0.0276,,1,0.2802,,1,0.1034,,1
S5_in_domain,single,overall,person,0.4387,,1,0.2023,,1,0.5824,,1,0.4002,,1
S5_in_domain,single,overall,rider,0.3942,,1,0.1838,,1,0.6288,,1,0.352,,1
S5_in_domain,single,overall,car,0.7328,,1,0.456,,1,0.7393,,1,0.6929,,1
S5_in_domain,single,overall,truck,0.5138,,1,0.3591,,1,0.5836,,1,0.4936,,1
S5_in_domain,single,overall,bus,0.5079,,1,0.3763,,1,0.5944,,1,0.4355,,1
S5_in_domain,single,overall,bicycle,0.3386,,1,0.1407,,1,0.553,,1,0.2916,,1
T1_acdc,5fold,overall,person,0.2616,0.0412,5,0.1147,0.0188,5,0.4157,0.1062,5,0.2948,0.0702,5
T1_acdc,5fold,overall,rider,0.1298,0.0659,5,0.0582,0.0353,5,0.3821,0.1504,5,0.1287,0.0624,5
T1_acdc,5fold,overall,car,0.5776,0.0121,5,0.3433,0.0089,5,0.5844,0.0393,5,0.578,0.0186,5
T1_acdc,5fold,overall,truck,0.3234,0.0498,5,0.186,0.0298,5,0.5482,0.116,5,0.3033,0.0805,5
T1_acdc,5fold,overall,bus,0.1363,0.0468,5,0.0766,0.0243,5,0.2328,0.0402,5,0.1779,0.0622,5
T1_acdc,5fold,overall,bicycle,0.0967,0.044,5,0.0364,0.0156,5,0.3494,0.1503,5,0.1058,0.0342,5
T1_acdc,5fold,fog,person,0.3064,0.116,5,0.161,0.0532,5,0.5773,0.1282,5,0.3145,0.1434,5
T1_acdc,5fold,fog,rider,0.2785,0.1789,5,0.1378,0.1033,5,0.6952,0.2175,5,0.2195,0.1366,5
T1_acdc,5fold,fog,car,0.6308,0.0209,5,0.3896,0.0155,5,0.7564,0.1156,5,0.5776,0.0591,5
T1_acdc,5fold,fog,truck,0.4419,0.0706,5,0.2527,0.0383,5,0.703,0.141,5,0.3358,0.1339,5
T1_acdc,5fold,fog,bus,0.4606,0.1761,5,0.3499,0.1519,5,0.4873,0.2424,5,0.5445,0.1641,5
T1_acdc,5fold,fog,bicycle,0.2149,0.0777,5,0.1035,0.0592,5,0.5728,0.178,5,0.1854,0.0814,5
T1_acdc,5fold,night,person,0.2157,0.0454,5,0.0885,0.0268,5,0.4233,0.1138,5,0.2303,0.0717,5
T1_acdc,5fold,night,rider,0.12,0.0861,5,0.0509,0.047,5,0.4879,0.3254,5,0.1081,0.0765,5
T1_acdc,5fold,night,car,0.4563,0.0249,5,0.2572,0.0114,5,0.5381,0.115,5,0.4561,0.0224,5
T1_acdc,5fold,night,truck,0.0648,0.1428,5,0.045,0.0999,5,0.3043,0.4497,5,0.05,0.1118,5
T1_acdc,5fold,night,bus,0.0427,0.0395,5,0.0165,0.0184,5,0.0814,0.112,5,0.0376,0.0529,5
T1_acdc,5fold,night,bicycle,0.0832,0.0466,5,0.0277,0.0165,5,0.4643,0.2943,5,0.0784,0.0253,5
T1_acdc,5fold,rain,person,0.2062,0.0183,5,0.0861,0.0195,5,0.3881,0.1429,5,0.2236,0.0433,5
T1_acdc,5fold,rain,rider,0.1581,0.1483,5,0.076,0.0681,5,0.5541,0.3578,5,0.1567,0.1507,5
T1_acdc,5fold,rain,car,0.5976,0.0299,5,0.3404,0.0227,5,0.6301,0.063,5,0.5775,0.0482,5
T1_acdc,5fold,rain,truck,0.1801,0.1398,5,0.1179,0.0915,5,0.3239,0.3784,5,0.1747,0.1224,5
T1_acdc,5fold,rain,bus,0.179,0.1112,5,0.1035,0.0702,5,0.2721,0.0971,5,0.1707,0.1038,5
T1_acdc,5fold,rain,bicycle,0.1114,0.0486,5,0.0518,0.0152,5,0.4076,0.2689,5,0.0988,0.0505,5
T1_acdc,5fold,snow,person,0.3374,0.0763,5,0.1523,0.0361,5,0.5118,0.1685,5,0.3536,0.0961,5
T1_acdc,5fold,snow,rider,0.126,0.0745,5,0.0501,0.0256,5,0.3823,0.2492,5,0.125,0.0932,5
T1_acdc,5fold,snow,car,0.6196,0.0136,5,0.3837,0.0153,5,0.6608,0.0908,5,0.6026,0.0167,5
T1_acdc,5fold,snow,truck,0.19,0.0471,5,0.1089,0.0231,5,0.56,0.0546,5,0.1726,0.07,5
T1_acdc,5fold,snow,bus,0.1377,0.089,5,0.065,0.0296,5,0.2592,0.0516,5,0.1973,0.1683,5
T1_acdc,5fold,snow,bicycle,0.1024,0.0518,5,0.0343,0.0088,5,0.3677,0.222,5,0.1086,0.0285,5
T1_acdc,official,overall,person,0.1995,,1,0.085,,1,0.4244,,1,0.2023,,1
T1_acdc,official,overall,rider,0.0653,,1,0.0208,,1,0.188,,1,0.0852,,1
T1_acdc,official,overall,car,0.5984,,1,0.3636,,1,0.5708,,1,0.6107,,1
T1_acdc,official,overall,truck,0.2234,,1,0.1452,,1,0.493,,1,0.211,,1
T1_acdc,official,overall,bus,0.1418,,1,0.0619,,1,0.1751,,1,0.1429,,1
T1_acdc,official,overall,bicycle,0.069,,1,0.0199,,1,0.1843,,1,0.12,,1
T1_acdc,official,fog,person,0.2945,,1,0.1648,,1,0.4678,,1,0.2979,,1
T1_acdc,official,fog,rider,0.3408,,1,0.1132,,1,0.5889,,1,0.2627,,1
T1_acdc,official,fog,car,0.7184,,1,0.4761,,1,0.6686,,1,0.7177,,1
T1_acdc,official,fog,truck,0.194,,1,0.1377,,1,0.5768,,1,0.1707,,1
T1_acdc,official,fog,bus,0.5392,,1,0.3873,,1,0.5784,,1,0.6,,1
T1_acdc,official,fog,bicycle,0.2483,,1,0.0857,,1,0.5873,,1,0.2727,,1
T1_acdc,official,night,person,0.1697,,1,0.0715,,1,0.4101,,1,0.1582,,1
T1_acdc,official,night,rider,0.0151,,1,0.005,,1,0.2445,,1,0.0376,,1
T1_acdc,official,night,car,0.4772,,1,0.2779,,1,0.3763,,1,0.5263,,1
T1_acdc,official,night,truck,0.07,,1,0.0386,,1,0.2408,,1,0.125,,1
T1_acdc,official,night,bicycle,0.0422,,1,0.0157,,1,0.1076,,1,0.0649,,1
T1_acdc,official,rain,person,0.1705,,1,0.059,,1,0.6367,,1,0.1493,,1
T1_acdc,official,rain,rider,0.0249,,1,0.01,,1,1.0,,1,0.0,,1
T1_acdc,official,rain,car,0.586,,1,0.3246,,1,0.7198,,1,0.5426,,1
T1_acdc,official,rain,truck,0.2013,,1,0.1265,,1,0.5789,,1,0.125,,1
T1_acdc,official,rain,bus,0.1989,,1,0.0674,,1,0.4934,,1,0.125,,1
T1_acdc,official,rain,bicycle,0.0673,,1,0.0128,,1,0.2562,,1,0.0943,,1
T1_acdc,official,snow,person,0.2219,,1,0.099,,1,0.4595,,1,0.2286,,1
T1_acdc,official,snow,rider,0.0141,,1,0.0057,,1,0.0,,1,0.0,,1
T1_acdc,official,snow,car,0.5684,,1,0.3497,,1,0.6433,,1,0.5524,,1
T1_acdc,official,snow,truck,0.3129,,1,0.2028,,1,0.6439,,1,0.2927,,1
T1_acdc,official,snow,bus,0.0183,,1,0.005,,1,0.0,,1,0.0,,1
T1_acdc,official,snow,bicycle,0.0799,,1,0.0259,,1,0.216,,1,0.1427,,1
T1aug_acdc,5fold,overall,person,0.3845,0.0393,5,0.1781,0.0229,5,0.648,0.0699,5,0.3414,0.0262,5
T1aug_acdc,5fold,overall,rider,0.2138,0.0452,5,0.0995,0.0257,5,0.4823,0.1162,5,0.1737,0.0512,5
T1aug_acdc,5fold,overall,car,0.6866,0.0108,5,0.4442,0.0103,5,0.7447,0.0428,5,0.6378,0.0174,5
T1aug_acdc,5fold,overall,truck,0.4952,0.0558,5,0.3189,0.047,5,0.6526,0.025,5,0.4598,0.0759,5
T1aug_acdc,5fold,overall,bus,0.3398,0.0412,5,0.2086,0.0416,5,0.4749,0.0412,5,0.3451,0.0415,5
T1aug_acdc,5fold,overall,bicycle,0.1765,0.0449,5,0.0793,0.0161,5,0.4795,0.0822,5,0.1614,0.0492,5
T1aug_acdc,5fold,fog,person,0.4274,0.1275,5,0.223,0.0575,5,0.6809,0.1202,5,0.3517,0.0888,5
T1aug_acdc,5fold,fog,rider,0.3383,0.2072,5,0.1933,0.1241,5,0.497,0.308,5,0.2503,0.1557,5
T1aug_acdc,5fold,fog,car,0.7274,0.0276,5,0.4902,0.0245,5,0.7709,0.0846,5,0.6816,0.0169,5
T1aug_acdc,5fold,fog,truck,0.5942,0.0608,5,0.3797,0.0474,5,0.7003,0.0861,5,0.5567,0.0804,5
T1aug_acdc,5fold,fog,bus,0.5434,0.298,5,0.458,0.2979,5,0.4247,0.3162,5,0.5778,0.3635,5
T1aug_acdc,5fold,fog,bicycle,0.3914,0.055,5,0.2127,0.0568,5,0.8189,0.1322,5,0.3363,0.0882,5
T1aug_acdc,5fold,night,person,0.3164,0.055,5,0.1348,0.0335,5,0.4858,0.1149,5,0.3352,0.078,5
T1aug_acdc,5fold,night,rider,0.2116,0.0561,5,0.092,0.038,5,0.4394,0.0862,5,0.2212,0.0593,5
T1aug_acdc,5fold,night,car,0.5648,0.0179,5,0.3449,0.0134,5,0.5817,0.165,5,0.5403,0.0476,5
T1aug_acdc,5fold,night,truck,0.1152,0.1434,5,0.0599,0.0796,5,0.1629,0.2238,5,0.0833,0.1179,5
T1aug_acdc,5fold,night,bus,0.1877,0.1214,5,0.104,0.0771,5,0.4799,0.2514,5,0.2122,0.1027,5
T1aug_acdc,5fold,night,bicycle,0.1733,0.0969,5,0.0715,0.0375,5,0.4118,0.1679,5,0.176,0.0561,5
T1aug_acdc,5fold,rain,person,0.3329,0.0648,5,0.1499,0.0281,5,0.5584,0.1182,5,0.3028,0.1045,5
T1aug_acdc,5fold,rain,rider,0.1466,0.1741,5,0.0761,0.1188,5,0.6114,0.4329,5,0.13,0.1857,5
T1aug_acdc,5fold,rain,car,0.7148,0.0318,5,0.4477,0.0266,5,0.7246,0.0793,5,0.6844,0.032,5
T1aug_acdc,5fold,rain,truck,0.2568,0.1146,5,0.1731,0.0926,5,0.3613,0.1965,5,0.2234,0.1072,5
T1aug_acdc,5fold,rain,bus,0.4138,0.1691,5,0.223,0.0858,5,0.4856,0.1071,5,0.4638,0.176,5
T1aug_acdc,5fold,rain,bicycle,0.1801,0.066,5,0.0897,0.0293,5,0.3691,0.0797,5,0.1694,0.0778,5
T1aug_acdc,5fold,snow,person,0.4659,0.0931,5,0.2334,0.0499,5,0.662,0.1585,5,0.4066,0.0555,5
T1aug_acdc,5fold,snow,rider,0.2037,0.1452,5,0.0818,0.0567,5,0.2953,0.3003,5,0.1668,0.1314,5
T1aug_acdc,5fold,snow,car,0.7266,0.0209,5,0.4871,0.0178,5,0.7436,0.0563,5,0.6735,0.0342,5
T1aug_acdc,5fold,snow,truck,0.4103,0.0857,5,0.2767,0.0807,5,0.647,0.1288,5,0.3488,0.106,5
T1aug_acdc,5fold,snow,bus,0.3791,0.1502,5,0.2456,0.0886,5,0.491,0.2226,5,0.3958,0.1257,5
T1aug_acdc,5fold,snow,bicycle,0.1585,0.0407,5,0.0764,0.0366,5,0.4564,0.1166,5,0.1765,0.0844,5
T1aug_acdc,official,overall,person,0.3403,,1,0.159,,1,0.7059,,1,0.2609,,1
T1aug_acdc,official,overall,rider,0.1451,,1,0.0666,,1,0.4463,,1,0.1224,,1
T1aug_acdc,official,overall,car,0.7039,,1,0.4616,,1,0.8073,,1,0.6263,,1
T1aug_acdc,official,overall,truck,0.3129,,1,0.2254,,1,0.5095,,1,0.2842,,1
T1aug_acdc,official,overall,bus,0.2833,,1,0.2034,,1,0.3437,,1,0.3061,,1
T1aug_acdc,official,overall,bicycle,0.1318,,1,0.0586,,1,0.4218,,1,0.1333,,1
T1aug_acdc,official,fog,person,0.5327,,1,0.3169,,1,0.5634,,1,0.4516,,1
T1aug_acdc,official,fog,rider,0.4457,,1,0.253,,1,0.7389,,1,0.3636,,1
T1aug_acdc,official,fog,car,0.7994,,1,0.5717,,1,0.6581,,1,0.7883,,1
T1aug_acdc,official,fog,truck,0.3051,,1,0.2093,,1,0.495,,1,0.3659,,1
T1aug_acdc,official,fog,bus,0.7157,,1,0.58,,1,0.5309,,1,0.6,,1
T1aug_acdc,official,fog,bicycle,0.341,,1,0.2459,,1,0.6751,,1,0.3182,,1
T1aug_acdc,official,night,person,0.3023,,1,0.1327,,1,0.6635,,1,0.2532,,1
T1aug_acdc,official,night,rider,0.145,,1,0.0605,,1,0.4322,,1,0.1154,,1
T1aug_acdc,official,night,car,0.5897,,1,0.3695,,1,0.7244,,1,0.5602,,1
T1aug_acdc,official,night,truck,0.0248,,1,0.0077,,1,0.0,,1,0.0,,1
T1aug_acdc,official,night,bicycle,0.0615,,1,0.0222,,1,0.1805,,1,0.0649,,1
T1aug_acdc,official,rain,person,0.2908,,1,0.1232,,1,0.6056,,1,0.2239,,1
T1aug_acdc,official,rain,rider,0.0221,,1,0.0174,,1,0.0,,1,0.0,,1
T1aug_acdc,official,rain,car,0.6883,,1,0.4168,,1,0.7941,,1,0.6074,,1
T1aug_acdc,official,rain,truck,0.2811,,1,0.2136,,1,0.3878,,1,0.25,,1
T1aug_acdc,official,rain,bus,0.3239,,1,0.2114,,1,0.4493,,1,0.3125,,1
T1aug_acdc,official,rain,bicycle,0.2071,,1,0.0981,,1,0.3712,,1,0.2273,,1
T1aug_acdc,official,snow,person,0.358,,1,0.1667,,1,0.6259,,1,0.32,,1
T1aug_acdc,official,snow,rider,0.1278,,1,0.0145,,1,0.1927,,1,0.3853,,1
T1aug_acdc,official,snow,car,0.6917,,1,0.4544,,1,0.7943,,1,0.627,,1
T1aug_acdc,official,snow,truck,0.4478,,1,0.3322,,1,0.5702,,1,0.3902,,1
T1aug_acdc,official,snow,bus,0.1308,,1,0.0937,,1,0.1088,,1,0.1667,,1
T1aug_acdc,official,snow,bicycle,0.1494,,1,0.0437,,1,0.3803,,1,0.1724,,1
