experiment,eval,weather,class,mAP50,mAP50_std,mAP50_n,mAP50-95,mAP50-95_std,mAP50-95_n,precision,precision_std,precision_n,recall,recall_std,recall_n
S0_acdc,official,rain,person,0.22,,1,0.0738,,1,0.6521,,1,0.1259,,1
S0_acdc,official,rain,rider,0.0084,,1,0.0025,,1,0.0,,1,0.0,,1
S0_acdc,official,rain,car,0.5804,,1,0.3203,,1,0.656,,1,0.5544,,1
S0_acdc,official,rain,truck,0.2143,,1,0.1292,,1,0.2484,,1,0.375,,1
S0_acdc,official,rain,bus,0.0536,,1,0.0226,,1,0.1426,,1,0.0475,,1
S0_acdc,official,rain,bicycle,0.0388,,1,0.0107,,1,0.1278,,1,0.1364,,1
S0_acdc,official,snow,person,0.2278,,1,0.1033,,1,0.6591,,1,0.1886,,1
S0_acdc,official,snow,rider,0.0625,,1,0.0066,,1,0.0804,,1,0.362,,1
S0_acdc,official,snow,car,0.5995,,1,0.346,,1,0.6378,,1,0.5648,,1
S0_acdc,official,snow,truck,0.3449,,1,0.2384,,1,0.2952,,1,0.439,,1
S0_acdc,official,snow,bus,0.0111,,1,0.002,,1,0.0,,1,0.0,,1
S0_acdc,official,snow,bicycle,0.1514,,1,0.0634,,1,0.2005,,1,0.1724,,1
S0_in_domain,single,overall,person,0.3541,,1,0.1542,,1,0.5844,,1,0.3196,,1
S0_in_domain,single,overall,rider,0.2857,,1,0.1264,,1,0.447,,1,0.2857,,1
S0_in_domain,single,overall,car,0.6559,,1,0.3892,,1,0.7356,,1,0.6047,,1
S0_in_domain,single,overall,truck,0.39,,1,0.248,,1,0.4677,,1,0.408,,1
S0_in_domain,single,overall,bus,0.3667,,1,0.248,,1,0.4474,,1,0.3955,,1
S0_in_domain,single,overall,bicycle,0.2032,,1,0.0756,,1,0.3855,,1,0.2288,,1
S1_acdc,5fold,overall,person,0.295,0.0367,5,0.1283,0.02,5,0.6272,0.0785,5,0.253,0.0171,5
S1_acdc,5fold,overall,rider,0.1774,0.0498,5,0.0826,0.0141,5,0.5048,0.1268,5,0.1629,0.0661,5
S1_acdc,5fold,overall,car,0.6608,0.0115,5,0.4109,0.009,5,0.6823,0.0646,5,0.6223,0.015,5
S1_acdc,5fold,overall,truck,0.287,0.0555,5,0.1838,0.0412,5,0.4029,0.0537,5,0.3221,0.067,5
S1_acdc,5fold,overall,bus,0.1587,0.0659,5,0.0995,0.0493,5,0.3982,0.1575,5,0.1639,0.0659,5
