epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3685.73,1.25473,0.75287,0.95633,0.58754,0.41951,0.45189,0.26263,1.22593,0.7216,0.94722,0.0213671,0.00712237,0.0213671,0.00712237,0.0213671,0.00712237,0.0213671,0.00712237
31,3808.22,1.24894,0.74562,0.9531,0.59032,0.4237,0.45896,0.26825,1.22118,0.71467,0.94368,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
32,3930.68,1.25207,0.74747,0.95192,0.59002,0.42745,0.45919,0.26802,1.22235,0.71719,0.94277,0.0202898,0.00676328,0.0202898,0.00676328,0.0202898,0.00676328,0.0202898,0.00676328
33,4052.92,1.24304,0.74368,0.95016,0.6046,0.42569,0.46875,0.27239,1.21938,0.7114,0.94315,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
34,4175.14,1.24644,0.74148,0.94958,0.59192,0.41397,0.45901,0.26951,1.21631,0.70766,0.94446,0.0191809,0.00639363,0.0191809,0.00639363,0.0191809,0.00639363,0.0191809,0.00639363
35,4297.41,1.23103,0.73159,0.94898,0.60841,0.42556,0.46956,0.27324,1.21416,0.70755,0.93965,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
36,4419.63,1.23035,0.73203,0.94709,0.61225,0.42406,0.4674,0.2737,1.21246,0.70308,0.94233,0.0180471,0.0060157,0.0180471,0.0060157,0.0180471,0.0060157,0.0180471,0.0060157
37,4542.02,1.23698,0.73187,0.94881,0.61083,0.42129,0.46514,0.27401,1.21107,0.69953,0.93929,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
38,4664.37,1.23277,0.72584,0.94567,0.60555,0.43097,0.46872,0.27396,1.20861,0.70172,0.94118,0.0168954,0.00563181,0.0168954,0.00563181,0.0168954,0.00563181,0.0168954,0.00563181
39,4786.4,1.22525,0.72216,0.94444,0.63039,0.42155,0.47168,0.27507,1.20713,0.69827,0.93879,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
40,4908.9,1.22796,0.72209,0.94443,0.62867,0.42623,0.47436,0.27751,1.20393,0.69667,0.93759,0.015733,0.00524434,0.015733,0.00524434,0.015733,0.00524434,0.015733,0.00524434
41,5031.26,1.22273,0.71656,0.94007,0.61656,0.42996,0.47363,0.27711,1.20664,0.69531,0.93603,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,5153.75,1.22537,0.71672,0.94148,0.61113,0.4287,0.47711,0.28143,1.20471,0.69151,0.93422,0.014567,0.00485566,0.014567,0.00485566,0.014567,0.00485566,0.014567,0.00485566
43,5276.24,1.22299,0.71415,0.94267,0.60905,0.44087,0.47822,0.27923,1.20359,0.69364,0.93582,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
