epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0823,1.74237,3.15574,1.05466,0.33218,0.06778,0.02425,0.01623,1.56952,4.08876,1.01215,0.000326797,0.000326797,0.000326797
2,40.8504,1.73497,1.9079,1.0518,0.11824,0.31457,0.15743,0.08524,1.62064,2.96497,1.0678,0.000659879,0.000659879,0.000659879
3,60.0829,1.66907,1.6636,1.05441,0.26446,0.15878,0.16889,0.08987,1.65756,2.00275,1.10653,0.000991948,0.000991948,0.000991948
4,79.3001,1.69459,1.5716,1.05673,0.35327,0.17311,0.15581,0.08147,1.60785,1.68297,1.0744,0.000996569,0.000996569,0.000996569
5,98.4689,1.65981,1.4715,1.05236,0.46764,0.24058,0.23585,0.12198,1.60563,1.44426,1.04488,0.000993906,0.000993906,0.000993906
6,117.637,1.60605,1.33918,1.03083,0.45443,0.22425,0.22199,0.11875,1.56306,1.35673,1.05213,0.000990489,0.000990489,0.000990489
7,136.656,1.62823,1.33067,1.0452,0.3723,0.22173,0.22691,0.11916,1.57172,1.36993,1.05283,0.000986323,0.000986323,0.000986323
8,155.649,1.60453,1.27235,1.0319,0.49371,0.23313,0.24774,0.13575,1.5542,1.27593,1.05128,0.000981415,0.000981415,0.000981415
9,174.686,1.56296,1.22446,1.01661,0.36701,0.28491,0.24827,0.1354,1.52128,1.32879,1.05361,0.000975773,0.000975773,0.000975773
10,193.663,1.56627,1.2122,1.01684,0.39483,0.26706,0.25803,0.13134,1.48435,1.24125,1.03929,0.000969405,0.000969405,0.000969405
11,212.91,1.53959,1.18036,1.00949,0.59889,0.20743,0.22988,0.12828,1.45773,1.1966,1.02554,0.00096232,0.00096232,0.00096232
12,232.826,1.54507,1.15235,1.01478,0.42884,0.3027,0.28759,0.15845,1.45549,1.16079,1.03771,0.000954531,0.000954531,0.000954531
13,253.142,1.5554,1.13526,0.99657,0.49524,0.27003,0.27464,0.14743,1.47589,1.21579,1.03387,0.000946048,0.000946048,0.000946048
14,272.818,1.507,1.12045,1.00072,0.38885,0.27395,0.26909,0.14625,1.49029,1.19731,1.03674,0.000936886,0.000936886,0.000936886
15,292.117,1.53626,1.11778,0.99963,0.41894,0.28982,0.28007,0.15286,1.43424,1.16189,1.02147,0.000927057,0.000927057,0.000927057
16,311.69,1.49705,1.08836,0.99675,0.39129,0.3062,0.29327,0.15957,1.46937,1.14027,1.01797,0.000916577,0.000916577,0.000916577
17,331.327,1.49313,1.08031,0.99187,0.41527,0.30448,0.28818,0.15897,1.44643,1.10032,1.0119,0.000905463,0.000905463,0.000905463
18,351.554,1.48752,1.06128,0.98252,0.49572,0.30809,0.29156,0.15778,1.42729,1.09072,1.02197,0.000893732,0.000893732,0.000893732
19,370.976,1.46343,1.04299,0.9753,0.43171,0.30147,0.2926,0.15558,1.4291,1.10483,1.01637,0.000881401,0.000881401,0.000881401
20,390.371,1.45722,1.04418,0.98562,0.45678,0.28414,0.28707,0.15759,1.40688,1.08372,1.00394,0.00086849,0.00086849,0.00086849
21,409.972,1.44801,1.01144,0.98005,0.41244,0.29146,0.27112,0.14483,1.44049,1.13442,1.01377,0.000855018,0.000855018,0.000855018
22,429.981,1.41453,0.99385,0.97243,0.52522,0.31494,0.32105,0.17271,1.39512,1.0428,1.00296,0.000841006,0.000841006,0.000841006
23,450.313,1.44955,1.00382,0.97014,0.39982,0.31029,0.2884,0.15509,1.4229,1.07306,1.00181,0.000826477,0.000826477,0.000826477
24,470.39,1.45757,1.0056,0.96999,0.46695,0.27369,0.30174,0.16042,1.40545,1.0717,1.00629,0.000811452,0.000811452,0.000811452
25,489.949,1.40779,0.96949,0.96365,0.49188,0.3215,0.31307,0.17517,1.41226,1.05079,1.00222,0.000795954,0.000795954,0.000795954
26,509.359,1.38375,0.96028,0.96144,0.42113,0.34895,0.32488,0.17627,1.38242,1.07691,1.00324,0.000780007,0.000780007,0.000780007
27,529.139,1.39994,0.96304,0.9652,0.53049,0.3308,0.33632,0.19418,1.36039,0.99175,0.99623,0.000763637,0.000763637,0.000763637
28,548.847,1.38608,0.94772,0.96023,0.49062,0.33102,0.32942,0.18278,1.37158,1.01502,0.99669,0.000746868,0.000746868,0.000746868
29,568.544,1.40886,0.96128,0.9596,0.46572,0.32478,0.32175,0.18429,1.38384,1.02818,0.98738,0.000729725,0.000729725,0.000729725
30,588.219,1.39401,0.95235,0.95166,0.56279,0.31814,0.33237,0.18724,1.37039,1.00105,0.99387,0.000712237,0.000712237,0.000712237
31,607.577,1.37631,0.9284,0.95321,0.46124,0.37389,0.34899,0.18931,1.34904,0.96725,0.98702,0.000694428,0.000694428,0.000694428
32,627.59,1.35446,0.91779,0.95607,0.53162,0.35286,0.35543,0.19107,1.37232,0.98728,0.9928,0.000676328,0.000676328,0.000676328
33,647.071,1.37594,0.93339,0.95715,0.49797,0.34412,0.34109,0.19046,1.38595,1.02047,0.99678,0.000657963,0.000657963,0.000657963
34,666.607,1.37216,0.9265,0.95169,0.53975,0.35344,0.34867,0.19367,1.3596,0.96645,0.98831,0.000639363,0.000639363,0.000639363
