epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8268,1.66855,3.31137,1.06509,0.33354,0.04905,0.0112,0.00557,1.62991,4.1691,1.03691,0.000326797,0.000326797,0.000326797
2,40.0126,1.56183,1.97011,1.03142,0.11055,0.2788,0.14713,0.08367,1.73417,2.70496,1.09535,0.000659123,0.000659123,0.000659123
3,58.865,1.46551,1.64113,1.00072,0.44202,0.16843,0.16335,0.08778,1.7406,2.19247,1.10063,0.00098741,0.00098741,0.00098741
4,77.6143,1.41231,1.44342,0.98065,0.37179,0.22202,0.18889,0.09519,1.7001,1.65624,1.068,0.000986323,0.000986323,0.000986323
5,96.6141,1.33275,1.2666,0.95479,0.36683,0.22679,0.23068,0.12469,1.66507,1.43313,1.07353,0.000975773,0.000975773,0.000975773
6,115.738,1.28395,1.15336,0.9434,0.4833,0.21194,0.23336,0.12131,1.68563,1.38158,1.10142,0.00096232,0.00096232,0.00096232
7,134.525,1.20803,1.02757,0.91942,0.47104,0.24624,0.25611,0.13375,1.66349,1.32566,1.0801,0.000946048,0.000946048,0.000946048
8,153.223,1.16193,0.94743,0.90094,0.43814,0.25443,0.26165,0.13697,1.66358,1.31908,1.09265,0.000927057,0.000927057,0.000927057
9,172.082,1.10327,0.87076,0.88547,0.42384,0.2609,0.25562,0.1345,1.65605,1.28078,1.07302,0.000905463,0.000905463,0.000905463
10,190.916,1.05427,0.81394,0.87134,0.40272,0.24625,0.23308,0.12623,1.6662,1.44,1.08891,0.000881401,0.000881401,0.000881401
11,209.704,0.99892,0.75879,0.85921,0.42617,0.28223,0.26989,0.13993,1.64156,1.24653,1.09118,0.000855018,0.000855018,0.000855018
12,228.36,0.96629,0.71396,0.84977,0.45406,0.2831,0.26731,0.14148,1.62862,1.31952,1.09215,0.000826477,0.000826477,0.000826477
