epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,127.488,1.49623,1.65702,1.05832,0.47159,0.28445,0.27994,0.15683,1.43966,1.11221,1.01668,0.00996805,0.00332268,0.00996805,0.00332268,0.00996805,0.00332268,0.00996805,0.00332268
2,251.936,1.46518,1.08226,1.0333,0.45102,0.314,0.30813,0.1718,1.38066,1.05322,1.00117,0.0199604,0.00665348,0.0199604,0.00665348,0.0199604,0.00665348,0.0199604,0.00665348
3,374.675,1.50092,1.07311,1.0431,0.41,0.27631,0.25416,0.1375,1.46598,1.08505,1.04605,0.0299223,0.00997411,0.0299223,0.00997411,0.0299223,0.00997411,0.0299223,0.00997411
4,497.425,1.51612,1.07036,1.05654,0.33452,0.24725,0.22242,0.12211,1.46299,1.06779,1.05341,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
5,620.155,1.47299,1.00776,1.04403,0.41651,0.27682,0.24854,0.13089,1.44621,1.02348,1.04686,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
6,742.786,1.44225,0.97431,1.03512,0.44002,0.30434,0.2951,0.16632,1.3851,0.9199,1.01074,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
7,865.409,1.41503,0.94237,1.02286,0.46253,0.32101,0.3274,0.18234,1.34918,0.87911,0.99744,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
8,987.889,1.40078,0.9242,1.01719,0.47409,0.33168,0.33344,0.18531,1.34516,0.86407,0.99665,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
9,1110.16,1.38412,0.90618,1.01128,0.53116,0.31997,0.34292,0.19037,1.33529,0.86402,0.99791,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
10,1232.65,1.377,0.89059,1.00772,0.52798,0.3451,0.35807,0.19985,1.30673,0.8352,0.98266,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
11,1355.11,1.36513,0.88061,1.00306,0.50092,0.35618,0.36334,0.20433,1.31208,0.82428,0.98493,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
12,1477.54,1.36063,0.8728,1.00063,0.49896,0.34506,0.35728,0.20242,1.30434,0.82019,0.97727,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531
13,1599.88,1.3522,0.86342,0.99515,0.50318,0.37342,0.37927,0.2161,1.30031,0.81018,0.97773,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
14,1722.1,1.346,0.86309,0.99422,0.55141,0.35628,0.38073,0.21916,1.28678,0.79097,0.97314,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886
15,1844.41,1.34063,0.84602,0.9896,0.52271,0.37192,0.38524,0.21603,1.27703,0.79252,0.97163,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
16,1966.68,1.33568,0.84348,0.98807,0.49741,0.38205,0.38632,0.22097,1.27501,0.786,0.9681,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577
17,2088.7,1.32261,0.83206,0.98419,0.52477,0.36808,0.38842,0.2266,1.27607,0.77882,0.96721,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
18,2211.05,1.32272,0.82776,0.98183,0.52705,0.3633,0.38592,0.22077,1.27463,0.78722,0.96856,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732
19,2333.09,1.31318,0.8261,0.98001,0.54201,0.38569,0.40663,0.23295,1.25299,0.76688,0.96166,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
20,2455.23,1.31631,0.81903,0.97965,0.53058,0.38905,0.4058,0.23123,1.25954,0.76585,0.96233,0.0260547,0.0086849,0.0260547,0.0086849,0.0260547,0.0086849,0.0260547,0.0086849
21,2577.21,1.3071,0.81318,0.97766,0.51832,0.38739,0.40216,0.22927,1.2565,0.76038,0.96074,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
22,2699.97,1.29842,0.80767,0.97443,0.53026,0.39254,0.40994,0.23556,1.25037,0.76368,0.96021,0.0252302,0.00841006,0.0252302,0.00841006,0.0252302,0.00841006,0.0252302,0.00841006
23,2822.02,1.3017,0.80886,0.97363,0.54234,0.39296,0.41367,0.23972,1.24819,0.75701,0.96006,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
24,2944.42,1.29889,0.80371,0.97326,0.60063,0.37469,0.41758,0.23805,1.25019,0.76147,0.95658,0.0243435,0.00811452,0.0243435,0.00811452,0.0243435,0.00811452,0.0243435,0.00811452
25,3066.3,1.29407,0.79989,0.97161,0.56331,0.40356,0.42827,0.24708,1.24541,0.74615,0.95212,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
26,3188.4,1.29439,0.795,0.96952,0.60284,0.39438,0.43407,0.24697,1.2361,0.7377,0.95141,0.0234002,0.00780007,0.0234002,0.00780007,0.0234002,0.00780007,0.0234002,0.00780007
27,3310.32,1.29257,0.79198,0.96989,0.55964,0.40555,0.434,0.24953,1.2396,0.73324,0.95175,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
28,3432.45,1.27853,0.78398,0.96639,0.61874,0.37875,0.43237,0.24771,1.23283,0.73568,0.9516,0.022406,0.00746868,0.022406,0.00746868,0.022406,0.00746868,0.022406,0.00746868
29,3554.28,1.28118,0.78219,0.96598,0.56671,0.40696,0.43355,0.25363,1.23204,0.73144,0.94873,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
30,3676.33,1.28149,0.78174,0.96615,0.57339,0.40362,0.44168,0.2569,1.23283,0.72874,0.94938,0.0213671,0.00712237,0.0213671,0.00712237,0.0213671,0.00712237,0.0213671,0.00712237
31,3798.39,1.27342,0.77391,0.96283,0.59879,0.41094,0.45159,0.26165,1.2272,0.72452,0.94475,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
32,3920.48,1.27581,0.77203,0.96143,0.58403,0.41788,0.44845,0.25845,1.2233,0.72176,0.94628,0.0202898,0.00676328,0.0202898,0.00676328,0.0202898,0.00676328,0.0202898,0.00676328
33,4042.58,1.26714,0.77061,0.96014,0.56363,0.43659,0.45674,0.26484,1.22293,0.72147,0.94513,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
34,4164.91,1.27079,0.76602,0.96014,0.57865,0.41547,0.45183,0.26203,1.22154,0.71614,0.94485,0.0191809,0.00639363,0.0191809,0.00639363,0.0191809,0.00639363,0.0191809,0.00639363
35,4286.74,1.25582,0.75615,0.95806,0.63537,0.40181,0.4605,0.26686,1.21867,0.71186,0.9432,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
36,4408.77,1.25462,0.75725,0.95525,0.58754,0.42552,0.46186,0.2671,1.21942,0.70827,0.93992,0.0180471,0.0060157,0.0180471,0.0060157,0.0180471,0.0060157,0.0180471,0.0060157
