epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,126.867,1.49038,1.64559,1.05536,0.52034,0.27444,0.2831,0.16315,1.40292,1.07771,1.00427,0.00996805,0.00332268,0.00996805,0.00332268,0.00996805,0.00332268,0.00996805,0.00332268
2,251.092,1.4613,1.07254,1.02986,0.52147,0.309,0.3154,0.17815,1.35476,1.01785,0.99285,0.0199604,0.00665348,0.0199604,0.00665348,0.0199604,0.00665348,0.0199604,0.00665348
3,373.649,1.48903,1.06139,1.03936,0.32411,0.27225,0.22596,0.11812,1.49395,1.19181,1.06615,0.0299223,0.00997411,0.0299223,0.00997411,0.0299223,0.00997411,0.0299223,0.00997411
4,496.086,1.50534,1.05234,1.05268,0.46446,0.26334,0.25886,0.14123,1.43488,0.99178,1.03591,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
5,618.693,1.46381,0.99572,1.04023,0.41389,0.31772,0.29778,0.16158,1.39052,0.91691,1.01381,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
6,741.525,1.43345,0.95954,1.0302,0.45598,0.31349,0.29591,0.16119,1.37955,0.91786,1.00763,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
7,864.195,1.41188,0.93186,1.02118,0.47094,0.29213,0.29603,0.16647,1.37505,0.9258,1.00477,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
8,986.512,1.39286,0.91233,1.013,0.49566,0.33968,0.34947,0.19754,1.32796,0.84449,0.98858,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
9,1109.12,1.37625,0.8931,1.00708,0.43483,0.32892,0.31697,0.17995,1.3451,0.89485,1.00084,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
10,1231.51,1.37143,0.88097,1.00447,0.48288,0.34603,0.34635,0.19723,1.31162,0.85327,0.98816,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
