epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6876,1.65811,3.30766,1.05818,0.33891,0.06238,0.01954,0.0104,1.60297,4.16861,1.02911,0.000326797,0.000326797,0.000326797
2,40.1093,1.55349,1.93566,1.03232,0.50646,0.14412,0.14226,0.07467,1.77235,2.80838,1.12968,0.000659123,0.000659123,0.000659123
3,59.1203,1.47706,1.6474,1.0051,0.28034,0.18889,0.15938,0.08173,1.6693,1.68436,1.1115,0.00098741,0.00098741,0.00098741
4,78.3056,1.40066,1.42468,0.9852,0.35527,0.23452,0.19531,0.10099,1.69041,1.59077,1.09085,0.000986323,0.000986323,0.000986323
5,97.2844,1.34751,1.25825,0.96066,0.33202,0.21722,0.20669,0.10469,1.69205,1.50378,1.10964,0.000975773,0.000975773,0.000975773
6,116.238,1.29444,1.14162,0.94532,0.50764,0.21316,0.21655,0.11049,1.63284,1.50181,1.08765,0.00096232,0.00096232,0.00096232
7,135.019,1.22659,1.03528,0.92228,0.30964,0.2304,0.21967,0.11738,1.6054,1.31454,1.08558,0.000946048,0.000946048,0.000946048
8,153.847,1.16665,0.95291,0.90319,0.39977,0.22021,0.22218,0.11518,1.61571,1.39423,1.08866,0.000927057,0.000927057,0.000927057
9,172.733,1.11027,0.88356,0.88861,0.41773,0.24117,0.23123,0.11794,1.56913,1.27137,1.08181,0.000905463,0.000905463,0.000905463
10,191.61,1.06805,0.81376,0.87712,0.44644,0.2323,0.22833,0.11798,1.60165,1.33158,1.08826,0.000881401,0.000881401,0.000881401
11,210.486,1.01703,0.76643,0.86223,0.34953,0.27186,0.22921,0.11487,1.58543,1.25546,1.08998,0.000855018,0.000855018,0.000855018
12,229.233,0.96342,0.7118,0.84961,0.4498,0.25328,0.24716,0.12326,1.57957,1.24044,1.09817,0.000826477,0.000826477,0.000826477
13,247.978,0.91761,0.67155,0.84133,0.41747,0.25391,0.24462,0.12465,1.57371,1.22241,1.08661,0.000795954,0.000795954,0.000795954
14,266.897,0.89909,0.652,0.83582,0.42206,0.23816,0.23246,0.12012,1.57828,1.21015,1.08631,0.000763637,0.000763637,0.000763637
15,285.87,0.83818,0.60317,0.825,0.42669,0.25552,0.24545,0.1253,1.57677,1.27806,1.0953,0.000729725,0.000729725,0.000729725
16,305.351,0.82203,0.58496,0.8213,0.3613,0.27431,0.24514,0.12246,1.56864,1.24908,1.08583,0.000694428,0.000694428,0.000694428
17,324.37,0.77961,0.55318,0.81458,0.45906,0.25638,0.24655,0.12481,1.56665,1.22894,1.09479,0.000657963,0.000657963,0.000657963
18,343.605,0.75279,0.53436,0.81119,0.47838,0.26861,0.24702,0.127,1.58926,1.31391,1.09795,0.000620555,0.000620555,0.000620555
19,362.586,0.72259,0.50579,0.80575,0.43071,0.27394,0.24955,0.12835,1.55603,1.23649,1.09105,0.000582435,0.000582435,0.000582435
