epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.949,1.75533,3.13353,1.06822,0.22289,0.08466,0.04424,0.03028,1.64859,4.06825,1.04637,0.000326797,0.000326797,0.000326797
2,41.9568,1.70205,1.87694,1.05087,0.27955,0.22921,0.16723,0.09065,1.68913,2.78942,1.05912,0.000659879,0.000659879,0.000659879
3,62.0251,1.66838,1.67789,1.0507,0.25864,0.16152,0.15116,0.07398,1.72941,2.13896,1.11447,0.000991948,0.000991948,0.000991948
4,81.7642,1.65536,1.54956,1.05539,0.44404,0.18264,0.17012,0.08628,1.64639,1.70046,1.07776,0.000996569,0.000996569,0.000996569
5,101.546,1.61412,1.4322,1.04218,0.32776,0.21104,0.19227,0.09982,1.64471,1.49247,1.09096,0.000993906,0.000993906,0.000993906
6,121.141,1.62051,1.37349,1.03526,0.39382,0.20495,0.20691,0.10779,1.58443,1.42051,1.05942,0.000990489,0.000990489,0.000990489
7,140.631,1.60393,1.32186,1.03928,0.33123,0.27689,0.24357,0.12231,1.60743,1.35758,1.06793,0.000986323,0.000986323,0.000986323
8,159.896,1.58024,1.28565,1.02751,0.37148,0.24604,0.23186,0.11835,1.57086,1.30455,1.04865,0.000981415,0.000981415,0.000981415
9,179.814,1.55904,1.23822,1.02417,0.43633,0.249,0.23395,0.11723,1.55335,1.31471,1.03444,0.000975773,0.000975773,0.000975773
10,199.36,1.55231,1.22984,1.02051,0.34144,0.23948,0.22608,0.12033,1.59366,1.30988,1.05153,0.000969405,0.000969405,0.000969405
11,218.853,1.54878,1.18302,1.0118,0.37832,0.29197,0.25946,0.13067,1.53244,1.25286,1.04817,0.00096232,0.00096232,0.00096232
12,238.178,1.54514,1.16675,1.01408,0.35512,0.27008,0.2412,0.12492,1.5773,1.26921,1.03669,0.000954531,0.000954531,0.000954531
13,258.457,1.5136,1.11606,0.99604,0.5499,0.2454,0.29188,0.16067,1.49639,1.14115,1.0367,0.000946048,0.000946048,0.000946048
14,278.068,1.49015,1.11332,0.99972,0.49102,0.26405,0.27527,0.14784,1.48551,1.16897,1.02238,0.000936886,0.000936886,0.000936886
15,298.47,1.48464,1.10394,0.997,0.40172,0.30347,0.28912,0.15405,1.49641,1.21723,1.02531,0.000927057,0.000927057,0.000927057
16,318.223,1.50056,1.08517,0.99589,0.49053,0.32528,0.31524,0.16858,1.4517,1.09462,1.01504,0.000916577,0.000916577,0.000916577
17,337.771,1.48343,1.07657,0.98764,0.43176,0.30429,0.29723,0.15944,1.48253,1.11883,1.02335,0.000905463,0.000905463,0.000905463
18,358.153,1.45894,1.05663,0.98084,0.42116,0.33697,0.3263,0.17428,1.45359,1.06839,1.01355,0.000893732,0.000893732,0.000893732
19,378.112,1.45965,1.04067,0.98254,0.46515,0.33219,0.31018,0.17206,1.44218,1.10323,1.02063,0.000881401,0.000881401,0.000881401
20,398.218,1.46875,1.05247,0.98075,0.5189,0.27715,0.30406,0.16874,1.44698,1.08186,1.00463,0.00086849,0.00086849,0.00086849
21,417.804,1.45572,1.02599,0.97812,0.49128,0.33827,0.33532,0.17965,1.46902,1.05798,1.01684,0.000855018,0.000855018,0.000855018
22,437.602,1.43805,1.03022,0.97885,0.51037,0.29907,0.33347,0.18,1.46049,1.0789,1.0229,0.000841006,0.000841006,0.000841006
23,457.158,1.4413,1.01697,0.98288,0.45955,0.33609,0.32841,0.17686,1.45853,1.11191,1.01257,0.000826477,0.000826477,0.000826477
24,477.186,1.4134,0.99096,0.96698,0.49433,0.32212,0.33747,0.18619,1.43556,1.02754,1.00593,0.000811452,0.000811452,0.000811452
