epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9658,1.74379,3.13148,1.06155,0.1642,0.06681,0.01919,0.01408,1.61619,4.17819,0.99376,0.000326797,0.000326797,0.000326797
2,41.4524,1.71359,1.88172,1.05483,0.4587,0.11839,0.12885,0.07329,1.64329,2.95297,1.05119,0.000659879,0.000659879,0.000659879
3,60.5825,1.65251,1.67289,1.0407,0.2994,0.15479,0.15034,0.0797,1.68294,1.87638,1.05926,0.000991948,0.000991948,0.000991948
4,80.4269,1.69423,1.56979,1.06406,0.29646,0.19089,0.17311,0.08905,1.61816,1.66512,1.0543,0.000996569,0.000996569,0.000996569
5,99.7476,1.66831,1.45182,1.05077,0.27976,0.21505,0.16798,0.0914,1.62876,1.5661,1.06744,0.000993906,0.000993906,0.000993906
6,119.043,1.63487,1.38596,1.03766,0.33968,0.22402,0.20376,0.10717,1.55828,1.37171,1.03898,0.000990489,0.000990489,0.000990489
7,138.857,1.61133,1.30721,1.03661,0.34757,0.20385,0.19813,0.10438,1.59665,1.35227,1.03112,0.000986323,0.000986323,0.000986323
8,158.365,1.60279,1.30533,1.03403,0.3547,0.22915,0.2103,0.11502,1.55176,1.29612,1.04278,0.000981415,0.000981415,0.000981415
9,177.695,1.56929,1.2438,1.03182,0.4147,0.22964,0.23921,0.13017,1.53005,1.25455,1.0428,0.000975773,0.000975773,0.000975773
10,197.17,1.5675,1.21984,1.0238,0.36925,0.27221,0.23749,0.12642,1.57345,1.26423,1.04341,0.000969405,0.000969405,0.000969405
11,216.372,1.57377,1.18838,1.01307,0.37205,0.24558,0.21635,0.11884,1.53368,1.25902,1.01332,0.00096232,0.00096232,0.00096232
12,236.038,1.55902,1.18195,1.01696,0.39559,0.26317,0.23677,0.12752,1.52624,1.17337,1.04849,0.000954531,0.000954531,0.000954531
13,255.441,1.53843,1.13945,1.00743,0.47112,0.25691,0.25258,0.14077,1.47281,1.16039,1.01847,0.000946048,0.000946048,0.000946048
14,274.715,1.49042,1.09168,0.99361,0.4491,0.28025,0.26241,0.14693,1.51216,1.12903,1.03023,0.000936886,0.000936886,0.000936886
