epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3064,1.66952,3.31565,1.06717,0.16281,0.06697,0.00937,0.00584,1.55981,4.19435,0.99787,0.000326797,0.000326797,0.000326797
2,39.424,1.56891,1.96582,1.03026,0.12816,0.26732,0.14978,0.08446,1.66055,2.74947,1.03523,0.000659123,0.000659123,0.000659123
3,58.4029,1.48122,1.66233,1.00207,0.29472,0.16978,0.15089,0.08423,1.65442,1.78102,1.07734,0.00098741,0.00098741,0.00098741
4,77.1224,1.45307,1.46837,0.99038,0.47078,0.19396,0.18448,0.1002,1.61725,1.55128,1.06817,0.000986323,0.000986323,0.000986323
5,96.2124,1.34728,1.24497,0.95822,0.29505,0.19689,0.19888,0.10522,1.6111,1.45756,1.04608,0.000975773,0.000975773,0.000975773
6,115.117,1.28279,1.13125,0.93463,0.31232,0.21227,0.20005,0.10723,1.60536,1.4059,1.04782,0.00096232,0.00096232,0.00096232
7,134.097,1.22292,1.03718,0.92001,0.29426,0.19703,0.19623,0.10634,1.62764,1.3775,1.07916,0.000946048,0.000946048,0.000946048
8,152.871,1.16333,0.94457,0.90175,0.32565,0.22621,0.21485,0.10989,1.60346,1.34062,1.07417,0.000927057,0.000927057,0.000927057
9,172.218,1.12069,0.88491,0.88697,0.32977,0.24359,0.21504,0.11432,1.58963,1.27335,1.06649,0.000905463,0.000905463,0.000905463
10,191.138,1.06496,0.8267,0.87481,0.35316,0.23737,0.21894,0.11589,1.60408,1.34497,1.06959,0.000881401,0.000881401,0.000881401
11,210.042,1.01665,0.76693,0.86226,0.30985,0.24464,0.21922,0.11575,1.59629,1.2771,1.07264,0.000855018,0.000855018,0.000855018
12,228.79,0.98486,0.73857,0.85658,0.37819,0.23087,0.22467,0.11899,1.5932,1.24478,1.07002,0.000826477,0.000826477,0.000826477
13,247.559,0.94762,0.69573,0.84682,0.3107,0.22088,0.20672,0.10797,1.58609,1.32221,1.0642,0.000795954,0.000795954,0.000795954
