epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3669.88,1.24649,0.74693,0.95474,0.59142,0.41654,0.45401,0.26193,1.22306,0.71884,0.94256,0.0213671,0.00712237,0.0213671,0.00712237,0.0213671,0.00712237,0.0213671,0.00712237
31,3792.06,1.2506,0.74757,0.95354,0.62321,0.42002,0.4586,0.26588,1.21967,0.71993,0.94472,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
32,3914.32,1.24473,0.74143,0.95205,0.62325,0.41175,0.45402,0.26086,1.21854,0.7156,0.94254,0.0202898,0.00676328,0.0202898,0.00676328,0.0202898,0.00676328,0.0202898,0.00676328
33,4036.34,1.24318,0.74188,0.95115,0.61434,0.4261,0.46025,0.2662,1.22083,0.71244,0.94573,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
34,4158.53,1.23686,0.73339,0.94796,0.61973,0.43106,0.46844,0.27062,1.21592,0.70759,0.94048,0.0191809,0.00639363,0.0191809,0.00639363,0.0191809,0.00639363,0.0191809,0.00639363
35,4280.57,1.23978,0.73271,0.9494,0.60379,0.42902,0.46323,0.26903,1.21168,0.70757,0.93915,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
36,4402.65,1.23311,0.73062,0.94632,0.59822,0.42454,0.46313,0.26954,1.21237,0.70216,0.93974,0.0180471,0.0060157,0.0180471,0.0060157,0.0180471,0.0060157,0.0180471,0.0060157
37,4524.67,1.22984,0.72587,0.94633,0.6502,0.41692,0.46422,0.26804,1.21136,0.7021,0.93753,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
38,4646.64,1.23395,0.72909,0.947,0.64045,0.41689,0.47066,0.27223,1.21039,0.69851,0.93886,0.0168954,0.00563181,0.0168954,0.00563181,0.0168954,0.00563181,0.0168954,0.00563181
39,4768.61,1.22506,0.72412,0.944,0.59525,0.42847,0.46671,0.27279,1.20733,0.69518,0.9389,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
40,4890.73,1.22302,0.72143,0.94363,0.62045,0.43659,0.46939,0.27239,1.20301,0.69929,0.93629,0.015733,0.00524434,0.015733,0.00524434,0.015733,0.00524434,0.015733,0.00524434
41,5012.89,1.22489,0.71621,0.94377,0.63491,0.42918,0.47748,0.27718,1.20083,0.68789,0.93622,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,5135.02,1.22123,0.71352,0.94048,0.65186,0.42695,0.47689,0.27784,1.20012,0.68778,0.93497,0.014567,0.00485566,0.014567,0.00485566,0.014567,0.00485566,0.014567,0.00485566
43,5257.03,1.21593,0.70759,0.9422,0.63885,0.42967,0.4743,0.27769,1.1999,0.68883,0.93514,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
44,5379.02,1.21579,0.70626,0.9396,0.63216,0.44677,0.48459,0.28162,1.19989,0.68429,0.9338,0.0134046,0.00446819,0.0134046,0.00446819,0.0134046,0.00446819,0.0134046,0.00446819
45,5501.26,1.20974,0.70377,0.93775,0.64926,0.44504,0.48676,0.28417,1.19769,0.68135,0.93333,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
46,5623.4,1.21166,0.7034,0.93816,0.66751,0.4285,0.48562,0.284,1.196,0.68229,0.93316,0.0122529,0.0040843,0.0122529,0.0040843,0.0122529,0.0040843,0.0122529,0.0040843
47,5745.44,1.20389,0.69724,0.93601,0.65563,0.43289,0.48122,0.2821,1.19665,0.67823,0.93126,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
48,5867.55,1.20605,0.69498,0.93698,0.63603,0.44927,0.48622,0.28413,1.19776,0.68,0.9328,0.0111191,0.00370637,0.0111191,0.00370637,0.0111191,0.00370637,0.0111191,0.00370637
49,5989.66,1.20345,0.6929,0.93674,0.64394,0.44474,0.48771,0.28311,1.19377,0.678,0.93123,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
50,6111.92,1.20013,0.69008,0.93481,0.64536,0.44084,0.48547,0.28413,1.19213,0.6765,0.9314,0.0100102,0.00333672,0.0100102,0.00333672,0.0100102,0.00333672,0.0100102,0.00333672
51,6234.21,1.19577,0.6858,0.93301,0.63421,0.44294,0.48472,0.28303,1.19169,0.6763,0.93054,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
52,6356.33,1.19711,0.68358,0.93298,0.63128,0.44879,0.48683,0.28328,1.19143,0.67488,0.93033,0.0089329,0.00297763,0.0089329,0.00297763,0.0089329,0.00297763,0.0089329,0.00297763
53,6478.4,1.19125,0.68096,0.93073,0.66979,0.43743,0.48779,0.28504,1.19257,0.67376,0.92988,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
54,6600.65,1.19089,0.67808,0.93025,0.6516,0.44055,0.48759,0.285,1.19066,0.6743,0.92947,0.00789397,0.00263132,0.00789397,0.00263132,0.00789397,0.00263132,0.00789397,0.00263132
55,6722.93,1.1894,0.67661,0.9303,0.64513,0.44553,0.48804,0.28581,1.18837,0.67191,0.92866,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363
56,6845.03,1.18343,0.67253,0.9269,0.68561,0.43153,0.48985,0.28439,1.18869,0.6732,0.92839,0.00689978,0.00229993,0.00689978,0.00229993,0.00689978,0.00229993,0.00689978,0.00229993
57,6967.04,1.18191,0.66932,0.9284,0.65916,0.4347,0.49217,0.28561,1.18841,0.67101,0.92874,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
58,7089.35,1.17916,0.66608,0.92667,0.68589,0.42464,0.49062,0.28428,1.18875,0.67153,0.92854,0.00595645,0.00198548,0.00595645,0.00198548,0.00595645,0.00198548,0.00595645,0.00198548
59,7211.74,1.17872,0.66693,0.92633,0.66724,0.43945,0.49025,0.28342,1.18807,0.67143,0.92952,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
60,7333.64,1.17677,0.66414,0.92707,0.68408,0.43716,0.49135,0.2859,1.18767,0.67086,0.92907,0.00506981,0.00168994,0.00506981,0.00168994,0.00506981,0.00168994,0.00506981,0.00168994
61,7455.63,1.17434,0.65979,0.92528,0.68273,0.44095,0.49202,0.28567,1.1893,0.6714,0.92924,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
62,7577.7,1.1756,0.65935,0.92446,0.68173,0.44168,0.49103,0.28563,1.18683,0.66967,0.92809,0.00424531,0.0014151,0.00424531,0.0014151,0.00424531,0.0014151,0.00424531,0.0014151
63,7699.93,1.17195,0.65507,0.9256,0.66132,0.44929,0.49032,0.28539,1.18612,0.66857,0.9282,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
64,7822.17,1.17478,0.65331,0.92286,0.68239,0.44042,0.49018,0.28496,1.18565,0.66916,0.92765,0.00348804,0.00116268,0.00348804,0.00116268,0.00348804,0.00116268,0.00348804,0.00116268
65,7944.13,1.16899,0.65068,0.92321,0.67375,0.44232,0.4887,0.28413,1.18663,0.67047,0.9279,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
66,8066.12,1.16665,0.64933,0.92176,0.69286,0.44084,0.48966,0.28474,1.18577,0.66987,0.92755,0.00280268,0.000934225,0.00280268,0.000934225,0.00280268,0.000934225,0.00280268,0.000934225
67,8188.19,1.16228,0.64532,0.92138,0.69189,0.44198,0.49073,0.28569,1.18591,0.66954,0.92778,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
68,8310.27,1.16576,0.64635,0.92169,0.69458,0.44092,0.49201,0.28607,1.18648,0.67001,0.92792,0.00219343,0.000731145,0.00219343,0.000731145,0.00219343,0.000731145,0.00219343,0.000731145
69,8432.4,1.15795,0.64203,0.91918,0.678,0.44468,0.49126,0.28643,1.18629,0.66944,0.92754,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
70,8554.45,1.15932,0.64046,0.92088,0.66859,0.44823,0.49138,0.2854,1.18708,0.66946,0.92788,0.00166407,0.000554691,0.00166407,0.000554691,0.00166407,0.000554691,0.00166407,0.000554691
71,8672.51,1.1841,0.63573,0.92659,0.67198,0.44496,0.49096,0.28376,1.18908,0.67063,0.92911,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
72,8789.64,1.17202,0.62605,0.92145,0.68267,0.44216,0.48904,0.28332,1.19019,0.67258,0.9296,0.00121786,0.000405953,0.00121786,0.000405953,0.00121786,0.000405953,0.00121786,0.000405953
73,8906.75,1.17337,0.6235,0.92126,0.68187,0.44409,0.49083,0.28406,1.1912,0.67307,0.92959,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
74,9023.87,1.16893,0.62079,0.92035,0.67579,0.44496,0.49004,0.28383,1.19189,0.67285,0.92941,0.00085754,0.000285847,0.00085754,0.000285847,0.00085754,0.000285847,0.00085754,0.000285847
75,9141.11,1.16709,0.61785,0.91971,0.67526,0.43989,0.48866,0.28401,1.19165,0.67302,0.92922,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
76,9258.17,1.1665,0.6171,0.91897,0.6799,0.43512,0.48785,0.28353,1.19105,0.67325,0.92893,0.000585339,0.000195113,0.000585339,0.000195113,0.000585339,0.000195113,0.000585339,0.000195113
77,9375.1,1.16542,0.61617,0.91906,0.6688,0.43657,0.48669,0.28241,1.19046,0.6734,0.92849,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
78,9492.19,1.16752,0.61604,0.91903,0.668,0.43723,0.48631,0.28228,1.19052,0.6738,0.92841,0.000402933,0.000134311,0.000402933,0.000134311,0.000402933,0.000134311,0.000402933,0.000134311
79,9609.17,1.16416,0.61674,0.91915,0.66699,0.43738,0.48596,0.28222,1.19012,0.67353,0.92831,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
80,9726.21,1.1639,0.61498,0.91821,0.67136,0.43688,0.48638,0.28219,1.18967,0.67379,0.9283,0.000311449,0.000103816,0.000311449,0.000103816,0.000311449,0.000103816,0.000311449,0.000103816
