epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,823.324,1.29576,0.84837,0.92601,0.52537,0.34836,0.37166,0.20331,1.39274,0.93059,1.00661,0.000485566,0.000485566,0.000485566
43,842.965,1.28552,0.83453,0.92917,0.54384,0.3489,0.37119,0.2007,1.40297,0.93976,1.00143,0.000466163,0.000466163,0.000466163
44,862.805,1.289,0.84087,0.92837,0.50332,0.32834,0.34656,0.18877,1.39964,0.98507,0.99334,0.000446819,0.000446819,0.000446819
45,882.79,1.27977,0.83503,0.92808,0.55361,0.34577,0.35915,0.1914,1.38707,0.95735,0.99708,0.000427565,0.000427565,0.000427565
46,902.786,1.25396,0.81459,0.91638,0.50505,0.36197,0.35876,0.19594,1.37356,0.92186,0.99415,0.00040843,0.00040843,0.00040843
47,922.5,1.25492,0.80665,0.9209,0.56926,0.3484,0.37497,0.21002,1.36696,0.92286,0.98953,0.000389445,0.000389445,0.000389445
48,942.14,1.27495,0.82955,0.92697,0.52782,0.3459,0.36471,0.19899,1.37945,0.95164,0.98491,0.000370637,0.000370637,0.000370637
49,962.288,1.25098,0.79503,0.91506,0.50185,0.36382,0.36817,0.2025,1.37484,0.9267,0.988,0.000352037,0.000352037,0.000352037
50,981.487,1.2431,0.79958,0.91692,0.54992,0.34605,0.37123,0.20789,1.3692,0.91266,0.98682,0.000333672,0.000333672,0.000333672
51,1000.96,1.24822,0.80074,0.91344,0.52255,0.35364,0.36837,0.20594,1.36472,0.91606,0.9944,0.000315572,0.000315572,0.000315572
52,1020.49,1.23442,0.79535,0.91109,0.53536,0.34355,0.36622,0.20647,1.36183,0.91405,0.98575,0.000297763,0.000297763,0.000297763
53,1040.15,1.25033,0.80199,0.91551,0.54596,0.34305,0.36941,0.20647,1.36068,0.92543,0.98953,0.000280275,0.000280275,0.000280275
54,1060.45,1.2256,0.77996,0.91221,0.54278,0.34839,0.36977,0.20675,1.36762,0.91877,0.99363,0.000263132,0.000263132,0.000263132
55,1080.22,1.20725,0.76748,0.90705,0.51177,0.35202,0.36225,0.20527,1.35557,0.90968,0.98375,0.000246363,0.000246363,0.000246363
56,1099.65,1.21436,0.76493,0.90312,0.55735,0.35304,0.3754,0.20718,1.35633,0.90842,0.98433,0.000229993,0.000229993,0.000229993
57,1119.63,1.2131,0.76693,0.90432,0.58766,0.35172,0.37591,0.20619,1.37943,0.90367,0.99455,0.000214046,0.000214046,0.000214046
58,1139.67,1.23015,0.77095,0.90584,0.57767,0.3541,0.37694,0.20882,1.35761,0.90652,0.98801,0.000198548,0.000198548,0.000198548
59,1159.62,1.19747,0.74902,0.90077,0.58102,0.34623,0.37906,0.20965,1.35732,0.88879,0.98676,0.000183523,0.000183523,0.000183523
60,1179.2,1.2053,0.75371,0.90579,0.52656,0.35814,0.37165,0.20801,1.36853,0.89979,0.99041,0.000168994,0.000168994,0.000168994
61,1199.28,1.18786,0.74545,0.90171,0.53787,0.36313,0.37577,0.20618,1.35635,0.89576,0.9893,0.000154982,0.000154982,0.000154982
62,1219.41,1.1808,0.73815,0.89946,0.56813,0.36531,0.37822,0.21169,1.3502,0.89817,0.98679,0.00014151,0.00014151,0.00014151
63,1239.49,1.1828,0.7345,0.89622,0.5451,0.36473,0.37532,0.20869,1.35284,0.90029,0.98771,0.000128599,0.000128599,0.000128599
64,1258.75,1.19464,0.73981,0.90277,0.51817,0.35808,0.37048,0.20792,1.34784,0.89179,0.98551,0.000116268,0.000116268,0.000116268
65,1278.21,1.17068,0.73382,0.90367,0.57489,0.35362,0.37653,0.21233,1.3527,0.88772,0.9832,0.000104537,0.000104537,0.000104537
66,1298.02,1.17784,0.73133,0.89821,0.52813,0.36006,0.37279,0.21045,1.34727,0.89077,0.98384,9.34225e-05,9.34225e-05,9.34225e-05
67,1317.52,1.17446,0.72449,0.89435,0.52586,0.37355,0.37558,0.21368,1.34803,0.89052,0.98385,8.29431e-05,8.29431e-05,8.29431e-05
